celebrity_id,cause_id
Q15897,Q205972
Q34389,Q506616
Q2831,Q12152
Q324726,Q3505252
Q311655,Q3505252
Q40572,Q387175
Q1514,Q17154378
Q5928,Q193840
Q303,Q12152
Q180560,Q3505252
Q106514,Q17154378
Q311752,Q3505252
Q23858,Q3505252
Q296484,Q3505252
Q180710,Q1033086
Q168847,Q12192
Q168847,Q5445
Q168847,Q1033086
Q346607,Q30100108
Q47878,Q30100108
Q29388200,Q3505252
Q52151598,Q3505252
Q363236,Q3505252
Q309838,Q3505252
Q11637,Q1184752
Q4616,Q1184752
Q18951229,Q12192
Q18951229,Q18621601
Q211696,Q3505252
Q438124,Q3505252
Q683420,Q3505252
Q720722,Q1255828
Q211588,Q3505252
Q7542,Q21504884
